zooID	i	latit	longit	type	scinam	Nestbuilding 	Courtshipfeeding 	Incubation	FeedingOffspring 	Precocilaity 	family	order_	genus	brange_area	clutch_size	generation_length	territoriality	social_bond	migr_dist	lab_method	ep_offspring	wp_offspring	ep_broods	wp_broods	X	Y	rel_latitude	rel_distance	Realm	seasonality	n_epy	n_epb	prop_epb	prop_epo
5	262	-0.422	-90.372	1	geospiza_scandens	NA	NA	NA	NA	NA	emberizidae	passeriformes	geospiza	7151436609	4	6.6	1	1	41.4269	1	12	147	10	56	-8495480.131	-55628.04311	-0.377585855	0.72	Neotropical	0.828788817	159	66	0.151515152	0.075471698
4	263	43.383	-88.017	1	geothlypis_trichas	NA	NA	NA	NA	NA	parulidae	passeriformes	geothlypis	1.28084E+13	4	4.6	1	1	1817.3	1	93	393	60	78	-7329082.656	5382331.604	0.177393364	0.057171515	Nearctic	1.114391088	486	138	0.434782609	0.191358025
4	264	43.173	-73.322	1	geothlypis_trichas	NA	NA	NA	NA	NA	parulidae	passeriformes	geothlypis	NA	NA	NA	NA	NA	NA	1	95	510	35	66	-6113055.544	5359593.178	0.168379322	0.457372116	Nearctic	1.12753129	605	101	0.346534653	0.157024793
6	265	-21.628	165.763	1	gerygone_flavolateralis	NA	NA	NA	NA	NA	acanthizidae	passeriformes	gerygone	28444301869	2	5.5	1	2	116.269	1	6	63	6	30	15140523.08	-2810069.787	0.771293281	0.830845771	Oceania	0.246350393	69	36	0.166666667	0.086956522
2	266	-35.278	149.119	1	grallina_cyanoleuca	NA	NA	NA	NA	NA	monarchidae	passeriformes	grallina	6.77417E+12	4	4.2	2	2	704.231	0	3	100	3	44	12959579.65	-4470967.575	0.724553383	0.268731269	Australian	0.514187098	103	47	0.063829787	0.029126214
4	267	43.6	-89.6	1	grus_canadensis	NA	NA	NA	NA	NA	gruidae	gruiformes	grus	8.5644E+12	2	13.9	1	2	2571.2	1	2	43	1	17	-7451240.174	5405775.134	-0.008088561	0.613226453	Nearctic	1.160924911	45	18	0.055555556	0.044444444
5	268	-15.783	-47.933	0	guira_guira	NA	NA	NA	NA	NA	cuculidae	cuculiformes	guira	8.06661E+12	3	4.2	2	2	728.352	1	13	212	NA	NA	-4437907.709	-2064653.635	-0.246332269	0.901883053	Neotropical	0.39993152	225	NA	NA	0.057777778
2	269	-37.717	144.4	0	gymnorhina_tibicen	NA	NA	NA	NA	NA	cracticidae	passeriformes	gymnorhina	6.75405E+12	3	12.7	2	2	724.751	1	29	50	24	18	12402780.24	-4752134.912	0.69730996	0.105367793	Australian	0.583592057	79	42	0.571428571	0.367088608
2	270	-31.9	115.983	0	gymnorhina_tibicen	NA	NA	NA	NA	NA	cracticidae	passeriformes	gymnorhina	NA	NA	NA	NA	NA	NA	1	33	10	11	1	10229953.93	-4072813.612	0.379875307	0.073558648	Australian	0.32774815	43	12	0.916666667	0.76744186
2	271	-36.972	145.227	0	gymnorhina_tibicen	NA	NA	NA	NA	NA	cracticidae	passeriformes	gymnorhina	NA	NA	NA	NA	NA	NA	1	54	151	NA	NA	12519922.52	-4666843.193	0.65745467	0.330019881	Australian	0.576636851	205	NA	NA	0.263414634
8	272	44.136	5.768	1	gyps_fulvus	NA	NA	NA	NA	NA	accipitridae	accipitriformes	gyps	3.49424E+12	1	17.8	0	2	1256.38	1	0	40	0	40	478124.6085	5463449.499	0.744365189	0.352824579	Palearctic	0.93469733	40	40	0	0
